"ID","logFC","AveExpr","P.Value","adj.P.Val"
"CAPN12",1.20137994166471,11.7115001799833,1.03262772472772e-05,0.00104732281157961
"FAM151A",-1.4542007433323,7.39284003708757,1.13688202051896e-05,0.00107741038823199
"JUN",-1.78108419126416,9.32937753508424,1.18661139581335e-05,0.00107741038823199
"BEST1",1.58968490780178,10.7753201250924,1.19278556457332e-05,0.00107741038823199
"ZNF497",1.43582730665799,8.0985349893618,1.23146001637059e-05,0.00107741038823199
"CTNS",1.25329525770931,10.3591397353439,1.26808559323421e-05,0.00107741038823199
"TNNI1",1.42965533037142,7.23755530666562,1.30743771040666e-05,0.00107741038823199
"STK16",1.85682211032438,7.54200038654179,1.457230253815e-05,0.0011644594482758
"TSPAN3",1.45379679887177,8.53871413823553,1.59780966671493e-05,0.00118111660950034
"SYCP3",1.1814025045462,9.90260783221838,1.60744246597781e-05,0.00118111660950034
"LOC100288346",-2.02507042115129,6.4008011361661,1.65621985858743e-05,0.00118111660950034
"FBXL3",-1.72965388126323,6.44884999877945,1.65723604670128e-05,0.00118111660950034
"CCDC18",1.49713287649215,7.25812885432075,1.76429449651977e-05,0.00122432752297964
"PLTP",1.20373094455142,10.5184672223217,2.21639154092333e-05,0.00148391103704416
"APAF1",-1.45667040699807,6.56861278853632,2.25090790602072e-05,0.00148391103704416
"LAGE3",1.53220983634462,7.85199248161541,2.44594853942356e-05,0.00148984744353878
"TCTEX1D4",1.90083941703511,7.31208788695087,2.45018390302565e-05,0.00148984744353878
"LOC654433",-1.46407260457862,11.3146556611133,2.47403045740009e-05,0.00148984744353878
"GRIP2",1.73071077530937,8.23024428123544,2.53824949392812e-05,0.00148984744353878
"ID1",-1.48551740128497,6.65492903577476,2.56739944214114e-05,0.00148984744353878
"ANXA9",-1.34126013195229,9.33102300149388,2.59889959813362e-05,0.00148984744353878
"SPTBN1",-1.67858711562938,7.63663785381625,2.76961162986296e-05,0.00155392890807417
"PROS1",2.15065655729006,7.28075052674792,2.95018637049908e-05,0.00158221208676945
"RHOBTB2",1.28081059104969,8.34643301983485,2.98030238491949e-05,0.00158221208676945
"PPIEL",-2.71899874009209,9.16799994634843,3.0000229176516e-05,0.00158221208676945
"LINC00847",-1.33764833707981,7.83657806243512,3.13471574796243e-05,0.00162083243674057
"FOXH1",1.38675124437842,9.21318224229743,3.32902043006582e-05,0.00162905658118
"YIF1B",1.94150880037755,9.79013537188646,3.41526793862969e-05,0.00162905658118
"DCDC2B",1.38112145522794,8.14029861655437,3.45710913104502e-05,0.00162905658118
"DPT",-2.31998805086613,7.64282524747341,3.45910622596013e-05,0.00162905658118
"EZR",-1.10550194411362,9.23713793834783,3.50170182702177e-05,0.00162905658118
"H1F0",-1.54768596635581,8.67417392459075,3.52128271244823e-05,0.00162905658118
"CCDC152",-1.18378966543143,13.154396547424,3.78261718343568e-05,0.00168011581708136
"SDC2",-1.39661856950255,7.95551806366525,3.8077527056506e-05,0.00168011581708136
"SNHG16",-1.62209614429154,7.65313891258257,3.87385775410391e-05,0.00168011581708136
"ANXA1",1.86130371768799,7.84861685666079,3.8865022693198e-05,0.00168011581708136
"FAM13A-AS1",-1.45418162119865,9.91042777747006,4.08561226017882e-05,0.00173770315001476
"C19orf33",2.03912392667127,6.76513353399325,4.37165645373909e-05,0.00182985048706508
"SORD",-1.94979821023866,7.01606714479602,4.54176802938837e-05,0.00187135035835893
"THRA",1.70520237586903,8.68448659895415,4.7820504933639e-05,0.00192387429098383
"NAB2",1.5851487795453,7.85217599199754,4.82791596037317e-05,0.00192387429098383
"ADIRF",-1.52373156668904,7.46600364771931,4.88811442912084e-05,0.00192387429098383
"RBBP4",1.34820295481703,10.0784246484537,5.07962069882516e-05,0.00196984702688264
"LOC728558",2.57758081104761,8.77780971057531,5.39087617472432e-05,0.00206025224242725
"LOC645513",2.29817422278537,10.2559956914962,5.53643154871961e-05,0.00208565285628195
"CCDC176",-1.29313261773859,7.83299253022367,5.64650818689187e-05,0.00209716085758223
"PPIB",1.55950695918461,10.6516740255923,6.40735696880727e-05,0.00234669448982566
"SNRNP200",1.335616750045,8.53842502912,7.00386550968803e-05,0.00250370338421437
